,Random Forest,Support Vector Machine,Logistic Regression,Gradient Boosting,AdaBoost,XGBoost,Average
Recency,0.032,0.0515,0.1109,0.0468,0.0905,0.0677,0.0666
CustomerTenure,0.0277,0.0423,0.1269,0.0384,0.0919,0.045,0.062
HasPartner,0.0376,0.025,0.0788,0.0425,0.0581,0.0571,0.0499
NumStorePurchases,0.0156,0.059,0.0953,0.0216,0.0681,0.0358,0.0493
MntMeatProducts,0.016,0.067,0.0726,0.0227,0.0523,0.0292,0.0433
Teenhome,0.0267,0.0179,0.0755,0.032,0.0605,0.032,0.0408
AcceptedCmp1,0.0247,0.0206,0.045,0.0261,0.0302,0.0333,0.03
AcceptedCmp3,0.0213,0.0266,0.038,0.0208,0.0388,0.0307,0.0294
NumCatalogPurchases,0.0155,0.0138,0.0433,0.0121,0.0528,0.0213,0.0265
NumWebPurchases,0.0121,0.018,0.0515,0.0073,0.0371,0.0068,0.0222
NumWebVisitsMonth,0.0154,0.0256,0.0167,0.0201,0.0274,0.026,0.0219
MntWines,0.0063,0.0597,0.0347,0.0065,0.0119,0.0087,0.0213
AcceptedCmp5,0.0222,0.0164,0.0225,0.0199,0.0202,0.0215,0.0205
MntFishProducts,0.006,0.0265,0.0127,0.0101,0.0462,0.0114,0.0188
Kidhome,0.0038,0.0139,0.0305,0.0037,0.0438,0.0135,0.0182
Education_PhD,0.0045,0.0142,0.0459,0.0041,0.0284,0.0058,0.0171
MntGoldProds,0.0141,0.0313,0.0109,0.0135,0.0168,0.0143,0.0168
MntSweetProducts,0.0052,0.0492,0.0086,0.0095,0.0082,0.0117,0.0154
NumDealsPurchases,0.0048,0.0235,0.0172,0.0087,0.015,0.0143,0.0139
CustomerAge,0.0044,0.0192,0.008,0.0088,0.0225,0.0111,0.0123
MntFruits,0.0097,0.0189,0.0041,0.0142,0.0136,0.0076,0.0113
Income,0.0088,0.0188,0.0032,0.01,0.0074,0.0128,0.0102
AcceptedCmp4,0.0025,0.01,0.025,0.0032,0.0134,0.0032,0.0096
Education_Basic,0.002,0.0087,0.0209,0.0054,0.0029,0.0025,0.0071
AcceptedCmp2,0.0021,0.0039,0.013,0.0018,0.0096,0.0021,0.0054
Education_Graduation,0.0038,0.0114,0.0058,0.0022,0.0023,0.0055,0.0052
Education_Master,0.0025,0.0066,0.0151,0.0028,0.0021,0.002,0.0052
Education_2n Cycle,0.002,0.0071,0.0081,0.0013,0.0053,0.0023,0.0044
